player_id,player_name,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent
666310,"Naylor, Bo",L,66,57,9,7,1,0,1,6,9,0.15789473684210525,0.22807017543859648
666310,"Naylor, Bo",R,238,200,37,13,13,1,10,33,66,0.185,0.41
667670,"Rooker, Brent",L,111,97,32,17,10,0,5,14,16,0.32989690721649484,0.5876288659793815
667670,"Rooker, Brent",R,416,371,98,58,18,3,19,37,100,0.2641509433962264,0.48247978436657685
668227,"Arozarena, Randy",L,136,124,34,18,8,1,7,9,33,0.27419354838709675,0.5241935483870968
668227,"Arozarena, Randy",R,378,311,76,44,16,0,16,59,103,0.24437299035369775,0.45016077170418006
668670,"Rogers, Jake",L,25,17,2,1,0,0,1,6,5,0.11764705882352941,0.29411764705882354
668670,"Rogers, Jake",R,78,67,14,9,2,1,2,7,22,0.208955223880597,0.3582089552238806
668715,"Steer, Spencer",L,100,93,21,13,5,0,3,6,28,0.22580645161290322,0.3763440860215054
668715,"Steer, Spencer",R,339,304,75,50,12,2,11,31,70,0.24671052631578946,0.40789473684210525
668804,"Reynolds, Bryan",L,121,111,28,15,7,0,6,9,39,0.25225225225225223,0.4774774774774775
668804,"Reynolds, Bryan",R,365,333,80,53,19,3,5,28,92,0.24024024024024024,0.36036036036036034
668904,"Lewis, Royce",L,69,61,14,9,3,0,2,6,11,0.22950819672131148,0.3770491803278688
668904,"Lewis, Royce",R,169,154,37,24,10,0,3,11,24,0.24025974025974026,0.36363636363636365
668930,"Turang, Brice",L,141,125,36,29,5,0,2,9,34,0.288,0.376
668930,"Turang, Brice",R,339,296,83,57,16,0,10,36,70,0.28040540540540543,0.4358108108108108
668939,"Rutschman, Adley",L,102,88,25,18,5,1,1,13,16,0.2840909090909091,0.3977272727272727
668939,"Rutschman, Adley",R,229,197,43,24,11,0,8,25,37,0.2182741116751269,0.39593908629441626
669016,"Marsh, Brandon",L,60,51,11,9,1,0,1,6,22,0.21568627450980393,0.29411764705882354
669016,"Marsh, Brandon",R,238,205,60,38,15,1,6,21,52,0.2926829268292683,0.4634146341463415
669065,"Stowers, Kyle",L,100,87,23,17,4,1,1,11,21,0.26436781609195403,0.367816091954023
669065,"Stowers, Kyle",R,340,298,87,47,14,2,24,36,103,0.29194630872483224,0.5939597315436241
669127,"Langeliers, Shea",L,73,71,27,20,2,0,5,1,13,0.38028169014084506,0.6197183098591549
669127,"Langeliers, Shea",R,298,268,67,29,19,0,19,24,55,0.25,0.5335820895522388
